步数,精度
0, 0.01 
100, 0.16 
200, 0.19 
300, 0.45 
400, 0.63 
500, 0.6 
600, 0.66 
700, 0.68 
800, 0.73 
900, 0.76 
1000, 0.74 
1100, 0.73 
1200, 0.8 
1300, 0.72 
1400, 0.7 
1500, 0.7 
1600, 0.72 
1700, 0.69 
1800, 0.66 
1900, 0.67 
2000, 0.66 
2100, 0.73 
2200, 0.67 
2300, 0.68 
2400, 0.7 
2500, 0.66 
2600, 0.76 
2700, 0.68 
2800, 0.76 
2900, 0.74 
3000, 0.8 
3100, 0.76 
3200, 0.83 
3300, 0.8 
3400, 0.81 
3500, 0.74 
3600, 0.76 
3700, 0.78 
3800, 0.81 
3900, 0.82 
4000, 0.83 
4100, 0.85 
4200, 0.78 
4300, 0.79 
4400, 0.79 
4500, 0.9 
4600, 0.89 
4700, 0.83 
4800, 0.87 
4900, 0.91 
5000, 0.9 
5100, 0.9 
5200, 0.88 
5300, 0.92 
5400, 0.88 
5500, 0.86 
5600, 0.94 
5700, 0.88 
5800, 0.9 
5900, 0.89 
6000, 0.89 
6100, 0.97 
6200, 0.84 
6300, 0.91 
6400, 0.93 
6500, 0.95 
6600, 0.96 
6700, 0.94 
6800, 0.93 
6900, 0.98 
7000, 0.94 
7100, 0.89 
7200, 0.98 
7300, 0.95 
7400, 0.82 
7500, 0.92 
7600, 0.93 
7700, 0.9 
7800, 0.97 
7900, 0.95 
8000, 0.96 
8100, 0.92 
8200, 0.98 
8300, 0.96 
8400, 0.99 
8500, 0.95 
8600, 0.95 
8700, 0.94 
8800, 0.94 
8900, 0.94 
9000, 0.93 
9100, 0.96 
9200, 0.94 
9300, 0.91 
9400, 0.93 
9500, 0.95 
9600, 0.95 
9700, 0.96 
9800, 0.92 
9900, 0.97 
10000, 0.94 
10100, 0.92 
10200, 0.96 
10300, 0.97 
10400, 0.97 
10500, 0.99 
10600, 0.9 
10700, 0.99 
10800, 0.96 
10900, 0.98 
11000, 0.95 
11100, 0.97 
11200, 0.97 
11300, 0.98 
11400, 0.95 
11500, 0.91 
11600, 0.99 
11700, 0.93 
11800, 0.99 
11900, 0.99 
12000, 0.96 
12100, 0.98 
12200, 0.94 
12300, 0.96 
12400, 0.95 
12500, 0.94 
12600, 0.97 
12700, 0.95 
12800, 0.98 
12900, 0.98 
13000, 0.98 
13100, 0.99 
13200, 1 
13300, 0.97 
13400, 1 
13500, 1 
13600, 0.98 
13700, 0.99 
13800, 0.95 
13900, 0.96 
14000, 0.98 
14100, 0.99 
14200, 0.98 
14300, 0.99 
14400, 0.99 
14500, 0.96 
14600, 0.99 
14700, 1 
14800, 0.98 
14900, 0.98 
