学习率,	精确度,	训练用时,	测试用时
0.001,	0.862839,	54.013643980026245,	0.09424948692321777 
 0.0011,	0.873168,	53.31183195114136,	0.014036417007446289 
 0.0012,	0.905597,	53.987600803375244,	0.015037059783935547 
 0.0013,	0.889983,	54.023696184158325,	0.017045259475708008 
 0.0014,	0.872928,	54.79374384880066,	0.015039443969726562 
 0.0015,	0.89767,	57.10288643836975,	0.016042709350585938 
 0.0016,	0.89815,	57.47286653518677,	0.016056060791015625 
 0.0017,	0.864521,	57.97348117828369,	0.016042709350585938 
 0.0018,	0.908239,	60.49093580245972,	0.024063825607299805 
 0.0019,	0.884458,	63.28479528427124,	0.038100242614746094 
 0.002,	0.906077,	67.3984580039978,	0.06417083740234375 
 0.0021,	0.88638,	71.23797154426575,	0.09396576881408691 
 0.0022,	0.889503,	79.54344367980957,	0.11831402778625488 
 0.0023,	0.909921,	82.3206434249878,	0.14739608764648438 
 0.0024,	0.903916,	88.81847023963928,	0.18448901176452637 
 0.0025,	0.899592,	93.93430352210999,	0.2045755386352539 
 0.0026,	0.907038,	98.55862712860107,	0.221588134765625 
 0.0027,	0.905116,	101.906085729599,	0.25166940689086914 
 0.0028,	0.904876,	108.76228260993958,	0.3148386478424072 
 0.0029,	0.869565,	113.87388896942139,	0.345919132232666 
 0.003,	0.902474,	119.3875560760498,	0.3880007266998291 
 
